"stnid","stname","lat","lon","address","city","state"
"941390-99999","WARRUWI",-11.65,133.383,"Warruwi, West Arnhem Region, Northern Territory, Australia","Warruwi","Northern Territory"
"941400-99999","MILINGIMBI AWS",-12.117,134.9,"East Arnhem, East Arnhem Region, Northern Territory, 0852, Australia","East Arnhem","Northern Territory"
"941410-99999","CENTRAL ARNHEM PLATEAU",-13.333,133.083,"Gulung Mardrulk, Roper Gulf Region, Northern Territory, 0852, Australia","Gulung Mardrulk","Northern Territory"
"941430-99999","BULMAN AWS",-13.667,134.333,"Store, Central Arnhem Highway, Bulman Weemol, Bulman, Roper Gulf Region, Northern Territory, Australia","Store","Northern Territory"
"941470-99999","CAPE WESSEL AWS",-11.017,136.75,"East Arnhem, East Arnhem Region, Northern Territory, 0852, Australia","East Arnhem","Northern Territory"
"941500-99999","GOVE AIRPORT",-12.283,136.817,"Rio Tinto Alcan Gove Mine Lease, East Arnhem, East Arnhem Region, Northern Territory, Australia","Rio Tinto Alcan Gove Mine Lease","Northern Territory"
"941520-99999","BORROLOOLA",-16.083,136.3,"Carpentaria Highway, Mcarthur, Borroloola, Roper Gulf Region, Northern Territory, 0854, Australia","Carpentaria Highway","Northern Territory"
"941530-99999","GROOTE EYLANDT",-13.975,136.46,"Angurugu Access, Angurugu, Groote Archipelago Region, Northern Territory, 0822, Australia","Angurugu Access","Northern Territory"
"941700-99999","WEIPA AERO",-12.683,141.917,"Mission River, Cook Shire, Queensland, Australia","Mission River","Queensland"
"941710-99999","WEIPA",-12.679,141.925,"Weipa Airport, Peninsula Developmental Road, Mission River, Cook Shire, Queensland, Australia","Weipa Airport","Queensland"
"941740-99999","HORN ISLAND",-10.583,142.283,"Horn Island Airport, Cable Bay Road, Horn, Torres Shire, Queensland, Australia","Horn Island Airport","Queensland"
"941820-99999","COCONUT ISLAND",-10.05,143.067,"William Street, Poruma Island, Poruma, Torres Strait Island Regional, Queensland, Australia","William Street","Queensland"
"941830-99999","COEN AIRPORT",-13.767,143.117,"Peninsula Developmental Road, Coen, Cook Shire, Queensland, Australia","Peninsula Developmental Road","Queensland"
"941860-99999","LOCKHART RIVER AIRPORT",-12.783,143.3,"Lockhart River Mission Road, Lockhart River, Lockhart River Aboriginal Shire, Queensland, Australia","Lockhart River Mission Road","Queensland"
"941880-99999","CAPE FLATTERY",-14.967,145.317,"Hope Vale, Hope Vale Aboriginal Shire, Queensland, Australia","Hope Vale","Queensland"
"942000-99999","MANDORA",-19.733,120.85,"Eighty Mile Beach, Shire Of Broome, Western Australia, 6725, Australia","Eighty Mile Beach","Western Australia"
"942010-99999","CYGNET BAY",-16.45,123,"Dampier Peninsula, Shire Of Broome, Western Australia, 6725, Australia","Dampier Peninsula","Western Australia"
"942020-99999","BIDYADANGA",-18.683,121.783,"Cemetery Road, Lagrange, Bidyadanga, Shire Of Broome, Western Australia, Australia","Cemetery Road","Western Australia"
"942030-99999","BROOME INTL",-17.945,122.232,"Sandpiper Avenue, Bilingurr, Djugun, Broome, Shire Of Broome, Western Australia, 6725, Australia","Sandpiper Avenue","Western Australia"
"942040-99999","CURTIN AERO",-17.583,123.817,"RAAF Curtin, RAAF Base Access Road, Willare, Shire Of Derby-West Kimberley, Western Australia, Australia","RAAF Curtin","Western Australia"
"942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
"942070-99999","ROWLEY SHOALS",-17.533,118.95,"Shire Of Broome, Western Australia, Australia","Shire Of Broome","Western Australia"
"942100-99999","ADELE ISLAND",-15.517,123.15,"Shire Of Derby-West Kimberley, Western Australia, Australia","Shire Of Derby-West Kimberley","Western Australia"
"942110-99999","MOUNT ELIZABETH",-16.417,126.1,"Mount Elizabeth Station Access Road, Mount Elizabeth Station, Gibb, Shire Of Wyndham-East Kimberley, Western Australia, Australia","Mount Elizabeth Station Access Road","Western Australia"
"942120-99999","HALLS CREEK AIRPORT",-18.233,127.667,"Halls Creek Airport, Great Northern Highway, Halls Creek, Shire of Halls Creek, Western Australia, 6770, Australia","Halls Creek Airport","Western Australia"
"942130-99999","WARMUN",-17.017,128.217,"Warmun Roadhouse and Caravan Park, Great Northern Highway, Warmun, Shire of Halls Creek, Western Australia, Australia","Warmun Roadhouse and Caravan Park","Western Australia"
"942150-99999","DOONGAN",-15.383,126.317,"Doongan, Drysdale River, Shire Of Wyndham-East Kimberley, Western Australia, Australia","Doongan","Western Australia"
"942160-99999","KUNUNURRA",-15.778,128.708,"East Kimberley Regional Airport, Lake Kununurra Trail, Kununurra, Shire Of Wyndham-East Kimberley, Western Australia, 6743, Australia","East Kimberley Regional Airport","Western Australia"
"942170-99999","ARGYLE AERODROME",-16.633,128.45,"Argyle Airport, Airport Road, Argyle Diamond Mine, Lake Argyle, Argyle Village, Shire Of Wyndham-East Kimberley, Western Australia, Australia","Argyle Airport","Western Australia"
"942250-99999","DELAMERE WEAPONS RANGE",-15.75,131.917,"Delamere, Victoria Daly Region, Northern Territory, Australia","Delamere","Northern Territory"
"942290-99999","WAVE HILL",-17.383,131.117,"Gurindji, Victoria Daly Region, Northern Territory, Australia","Gurindji","Northern Territory"
"942310-99999","LAJAMANU",-18.333,130.633,"Lajamanu, Central Desert Region, Northern Territory, Australia","Lajamanu","Northern Territory"
"942320-99999","VICTORIA RIVER DOWNS",-16.4,131.017,"Buchanan Highway, Victoria River Downs Station, Victoria River, Victoria Daly Region, Northern Territory, Australia","Buchanan Highway","Northern Territory"
"942340-99999","DALY WATERS AWS",-16.25,133.367,"Kalala, Daly Waters, Roper Gulf Region, Northern Territory, Australia","Kalala","Northern Territory"
"942360-99999","ELLIOTT",-17.55,133.533,"Gurungu Street, Gurungu, Elliott, Barkly Region, Northern Territory, Australia","Gurungu Street","Northern Territory"
"942380-99999","TENNANT CREEK AIRPORT",-19.633,134.183,"Tennant Creek Airport, Stuart Street, Tennant Creek, Barkly Region, Northern Territory, 0861, Australia","Tennant Creek Airport","Northern Territory"
"942390-99999","MCARTHUR RIVER MINE",-16.433,136.067,"Carpentaria Highway, Mcarthur, McArthur River Mine, Roper Gulf Region, Northern Territory, 0852, Australia","Carpentaria Highway","Northern Territory"
"942420-99999","BRUNETTE DOWNS",-18.65,135.95,"Ngunarra, Brunette Downs, Barkly Region, Northern Territory, Australia","Ngunarra","Northern Territory"
"942480-99999","CENTRE ISLAND",-15.75,136.8,"Pellew Islands, Roper Gulf Region, Northern Territory, 0852, Australia","Pellew Islands","Northern Territory"
"942550-99999","CAMOOWEAL TOWNSHIP",-19.917,138.117,"Kennedy Street, Camooweal, Mount Isa City, Queensland, Australia","Kennedy Street","Queensland"
"942570-99999","SWEERS ISLAND",-17.117,139.6,"Sweers Island, Mornington Shire, Queensland, Australia","Sweers Island","Queensland"
"942600-99999","BURKETOWN AIRPORT",-17.75,139.533,"Burketown Airport, Aerodrome Road, Burketown, Burke Shire, Queensland, Australia","Burketown Airport","Queensland"
"942610-99999","CENTURY MINE",-18.75,138.7,"Lawn Hill, Burke Shire, Queensland, 4825, Australia","Lawn Hill","Queensland"
"942660-99999","NORMANTON AIRPORT",-17.683,141.067,"Burke Developmental Road, Normanton, Carpentaria Shire, Queensland, 4890, Australia","Burke Developmental Road","Queensland"
"942680-99999","KOWANYAMA AIRPORT",-15.483,141.75,"Kowanyama Airport, Thartj Manengk Street, Kowanyama, Kowanyama Aboriginal Shire, Queensland, Australia","Kowanyama Airport","Queensland"
"942740-99999","GEORGETOWN AIRPORT",-18.3,143.533,"Racecourse Road, Georgetown, Etheridge Shire, Queensland, Australia","Racecourse Road","Queensland"
"942760-99999","PALMERVILLE",-16,144.067,"Palmerville Station, Palmer, Cook Shire, Queensland, Australia","Palmerville Station","Queensland"
"942840-99999","ARLINGTON REEF",-16.717,146.117,"Coral Sea, Mackay Regional, Queensland, 4800, Australia","Coral Sea","Queensland"
"942850-99999","LOW ISLES LIGHTHOUSE",-16.383,145.567,"Low Isles, Douglas Shire, Queensland, Australia","Low Isles","Queensland"
"942870-99999","CAIRNS INTL",-16.886,145.755,"Former Runway, Aeroglen, Cairns, Cairns Regional, Queensland, 4870, Australia","Former Runway","Queensland"
"942880-99999","CAIRNS RACECOURSE",-16.95,145.75,"Ponzo Street, Woree, Cairns, Cairns Regional, Queensland, 4868, Australia","Ponzo Street","Queensland"
"942890-99999","HOLMES REEF",-16.467,147.867,"Coral Sea Islands, Australia","Coral Sea Islands","Coral Sea Islands"
"942900-99999","FLINDERS REEF",-17.717,148.45,"Coral Sea Islands, Australia","Coral Sea Islands","Coral Sea Islands"
"942910-99999","INNISFAIL",-17.517,146.033,"Flying Fish Point Road, Innisfail Estate, Innisfail, Cassowary Coast Regional, Queensland, 4860, Australia","Flying Fish Point Road","Queensland"
"942920-99999","CARDWELL STONEY CREEK",-18.3,146.033,"Stony Creek Road, Cardwell, Cassowary Coast Regional, Queensland, 4849, Australia","Stony Creek Road","Queensland"
"942930-99999","LIHOU REEF LIGHTHOUSE",-17.133,152.15,"Coral Sea Islands, Australia","Coral Sea Islands","Coral Sea Islands"
"942940-99999","TOWNSVILLE",-19.253,146.765,"Mustang Court, Garbutt, Townsville, Townsville City, Queensland, 4810, Australia","Mustang Court","Queensland"
"942950-99999","LUCINDA POINT AWS",-18.517,146.383,"Lucinda, Hinchinbrook Shire, Queensland, 4850, Australia","Lucinda","Queensland"
"942970-99999","CAPE FERGUSON NTC AWS",-19.28,147.06,"Cape Cleveland Road, Cape Cleveland, Townsville City, Queensland, 4810, Australia","Cape Cleveland Road","Queensland"
"942980-99999","MARION REEF",-19.083,152.383,"Coral Sea Islands, Australia","Coral Sea Islands","Coral Sea Islands"
"942990-99999","WILLIS ISLAND",-16.288,149.965,"Willis Island Weather Radar, Coral Sea Islands, Australia","Willis Island Weather Radar","Coral Sea Islands"
"943000-99999","CARNARVON AIRPORT",-24.888,113.67,"Carnarvon Weather Radar, Carnarvon Road, Massey Bay, Carnarvon, Shire Of Carnarvon, Western Australia, Australia","Carnarvon Weather Radar","Western Australia"
"943020-99999","LEARMONTH",-22.236,114.089,"Minilya-Exmouth Road, Shire Of Exmouth, Western Australia, Australia","Minilya-Exmouth Road","Western Australia"
"943030-99999","THEVENARD ISLAND",-21.45,115.017,"Shire Of Ashburton, Western Australia, Australia","Shire Of Ashburton","Western Australia"
"943060-99999","MARDIE",-21.183,115.967,"Mardie, City Of Karratha, Western Australia, 6714, Australia","Mardie","Western Australia"
"943070-99999","LEGENDRE ISLAND",-20.367,116.85,"Dampier Archipelago, City Of Karratha, Western Australia, 6713, Australia","Dampier Archipelago","Western Australia"
"943080-99999","ROEBOURNE AERO",-20.75,117.15,"Nairn Street, Roebourne, City Of Karratha, Western Australia, 6718, Australia","Nairn Street","Western Australia"
"943100-99999","BEDOUT ISLAND",-19.583,119.1,"Town Of Port Hedland, Western Australia, Australia","Town Of Port Hedland","Western Australia"
"943110-99999","PARDOO STATION",-20.1,119.583,"Pardoo, Shire of East Pilbara, Western Australia, 6721, Australia","Pardoo","Western Australia"
"943120-99999","PORT HEDLAND INTL",-20.378,118.626,"Port Hedland International Airport, Great Northern Highway, Port Hedland, Town Of Port Hedland, Western Australia, 6721, Australia","Port Hedland International Airport","Western Australia"
"943150-99999","BALGO HILLS ASA",-20.133,127.983,"Station Circuit, Tanami, Balgo, Shire of Halls Creek, Western Australia, Australia","Station Circuit","Western Australia"
"943160-99999","PARABURDOO AERO",-23.167,117.75,"Paraburdoo, Shire Of Ashburton, Western Australia, 6754, Australia","Paraburdoo","Western Australia"
"943170-99999","NEWMAN AERO",-23.417,119.8,"Newman Airport, Ruland Circuit, Newman, Shire of East Pilbara, Western Australia, Australia","Newman Airport","Western Australia"
"943180-99999","EMU CREEK STATION",-23.033,115.033,"Nyang Airport, Towera Road, Yannarie, Shire Of Ashburton, Western Australia, Australia","Nyang Airport","Western Australia"
"943190-99999","TELFER AERO",-21.717,122.217,"Telfer, Telfer Village, Shire of East Pilbara, Western Australia, 6762, Australia","Telfer","Western Australia"
"943210-99999","WULUNGURRU",-23.267,129.367,"Tjunarriti Road, Lake Mackay, Kintore, Macdonnell Region, Northern Territory, Australia","Tjunarriti Road","Northern Territory"
"943230-99999","WATARRKA",-24.3,131.55,"Petermann, Macdonnell Region, Northern Territory, 0872, Australia","Petermann","Northern Territory"
"943260-99999","ALICE SPRINGS",-23.807,133.902,"Alice Springs Airport, Santa Teresa Road, Connellan, Town of Alice Springs, Northern Territory, 0873, Australia","Alice Springs Airport","Northern Territory"
"943270-99999","JERVOIS",-22.95,136.15,"Plenty Highway, Anatye, Central Desert Region, Northern Territory, Australia","Plenty Highway","Northern Territory"
"943280-99999","TERRITORY GRAPE FARM",-22.45,133.633,"Territory Grape Property Access, Anmatjere, Central Desert Region, Northern Territory, Australia","Territory Grape Property Access","Northern Territory"
"943320-99999","MOUNT ISA",-20.664,139.489,"Mount Isa Airport, Spear Creek Road, Kalkadoon, Mount Isa, Mount Isa City, Queensland, 4825, Australia","Mount Isa Airport","Queensland"
"943330-99999","BOULIA AIRPORT",-22.917,139.9,"Boulia Airport, Herbert Street, Boulia, Boulia Shire, Queensland, Australia","Boulia Airport","Queensland"
"943340-99999","BEDOURIE POLICE STATION",-24.367,139.467,"Diamantina Developmental Road, Bedourie, Diamantina Shire, Queensland, Australia","Diamantina Developmental Road","Queensland"
"943350-99999","CLONCURRY AIRPORT",-20.667,140.5,"Cloncurry, Cloncurry Shire, Queensland, 4824, Australia","Cloncurry","Queensland"
"943360-99999","THE MONUMENT AIRPORT",-21.8,139.917,"Selwyn, Cloncurry Shire, Queensland, Australia","Selwyn","Queensland"
"943370-99999","JULIA CREEK",-20.667,141.733,"McIntyre Park Racecourse, McIntyre Park Road, Julia Creek, McKinlay Shire, Queensland, Australia","McIntyre Park Racecourse","Queensland"
"943380-99999","TREPELL AIRPORT",-21.833,140.883,"Trepell Airport, access road, McKinlay, McKinlay Shire, Queensland, Australia","Trepell Airport","Queensland"
"943400-99999","RICHMOND POST OFFICE",-20.733,143.133,"Gemoka Drive, Richmond, Richmond Shire, Queensland, Australia","Gemoka Drive","Queensland"
"943410-99999","RICHMOND",-20.702,143.115,"Aerodrome Road, Richmond, Richmond Shire, Queensland, Australia","Aerodrome Road","Queensland"
"943420-99999","WINTON AIRPORT",-22.367,143.083,"Winton Aerodrome, Winton Knapdale Road, Corfield, Winton Shire, Queensland, Australia","Winton Aerodrome","Queensland"
"943430-99999","HUGHENDEN AIRPORT",-20.817,144.233,"Kennedy Developmental Road, Hughenden, Flinders Shire, Queensland, Australia","Kennedy Developmental Road","Queensland"
"943440-99999","URANDANGI AERODROME",-21.6,138.367,"Piturie, Boulia Shire, Queensland, Australia","Piturie","Queensland"
"943450-99999","ISISFORD POST OFFICE",-24.267,144.433,"Isisford Yaraka River Road, West End, Isisford, Longreach Regional, Queensland, 4731, Australia","Isisford Yaraka River Road","Queensland"
"943460-99999","LONGREACH AERO",-23.433,144.283,"Longreach Aerodrome, Teal Street, Longreach, Longreach Regional, Queensland, Australia","Longreach Aerodrome","Queensland"
"943500-99999","BARCALDINE POST OFFICE",-23.55,145.283,"Box Street North, Barcaldine, Barcaldine Regional, Queensland, Australia","Box Street North","Queensland"
"943550-99999","TAMBO POST OFFICE",-24.883,146.25,"Albert Street, Tambo, Blackall Tambo Regional, Queensland, Australia","Albert Street","Queensland"
"943560-99999","CHARTERS TOWERS AIRPORT",-20.033,146.267,"Mahogany Close, Breddan, Charters Towers Regional, Queensland, 4820, Australia","Mahogany Close","Queensland"
"943600-99999","COLLINSVILLE POST OFFICE",-20.55,147.833,"Parkinson Street, Collinsville, Whitsunday Regional, Queensland, 4804, Australia","Parkinson Street","Queensland"
"943630-99999","EMERALD AIRPORT",-23.567,148.183,"Bottle Tree Road, Emerald, Central Highlands Regional, Queensland, 4720, Australia","Bottle Tree Road","Queensland"
"943650-99999","PROSERPINE WHITSUNDAY COAST",-20.495,148.552,"Whitsunday Coast Airport, Sir Reginald Ansett Drive, Gunyarra, Whitsunday Regional, Queensland, Australia","Whitsunday Coast Airport","Queensland"
"943660-99999","BOWEN AIRPORT AWS",-20.02,148.21,"Bowen, Catherine Drive, Bowen, Whitsunday Regional, Queensland, Australia","Bowen","Queensland"
"943670-99999","MACKAY MO",-21.117,149.217,"Mackay Weather Radar, Mount Bassett Drive, Mackay Harbour, Mackay, Mackay Regional, Queensland, 4740, Australia","Mackay Weather Radar","Queensland"
"943680-99999","HAMILTON ISLAND AIRPORT",-20.35,148.95,"Airport Drive, Whitsundays, Whitsunday Regional, Queensland, Australia","Airport Drive","Queensland"
"943700-99999","SAMUEL HILL AERO",-22.733,150.65,"Shoalwater, Livingstone Shire, Queensland, Australia","Shoalwater","Queensland"
"943710-99999","CREAL REEF",-20.533,150.383,NA,NA,NA
"943720-99999","MIDDLE PERCY ISLAND",-21.667,150.267,"Long Track, The Percy Group, Isaac Regional, Queensland, Australia","Long Track","Queensland"
"943730-99999","YEPPOON THE ESPLANADE",-23.133,150.75,"Keppel Bay Sailing Club, Anzac Parade, Yeppoon, Livingstone Shire, Queensland, 4703, Australia","Keppel Bay Sailing Club","Queensland"
"943740-99999","ROCKHAMPTON",-23.382,150.475,"Rockhampton Airport, Foreman Street, West Rockhampton, Rockhampton, Rockhampton Regional, Queensland, 4700, Australia","Rockhampton Airport","Queensland"
"943760-99999","THANGOOL AIRPORT",-24.483,150.567,"Burnett Highway, Thangool, Banana Shire, Queensland, Australia","Burnett Highway","Queensland"
"943770-99999","MONTO AIRPORT",-24.9,151.1,"Airport Road, Three Moon, Mulgildie, North Burnett Regional, Queensland, Australia","Airport Road","Queensland"
"943780-99999","RUNDLE ISLAND",-23.533,151.283,"Coral Sea, Mackay Regional, Queensland, 4800, Australia","Coral Sea","Queensland"
"943790-99999","GANNET CAY",-21.967,152.467,"Coral Sea, Mackay Regional, Queensland, 4800, Australia","Coral Sea","Queensland"
"943800-99999","GLADSTONE RADAR",-23.85,151.267,"Cotton Street, Gladstone Ports - Port Central, Barney Point, Gladstone, Gladstone Regional, Queensland, 4680, Australia","Cotton Street","Queensland"
"943810-99999","GLADSTONE AIRPORT",-23.867,151.217,"Red Rover Road, Callemondah, Gladstone, Gladstone Regional, Queensland, 4694, Australia","Red Rover Road","Queensland"
"943840-99999","SEVENTEEN SEVENTY",-24.15,151.883,"Round Hill Creek Track, Seventeen Seventy, Gladstone Regional, Queensland, Australia","Round Hill Creek Track","Queensland"
"943860-99999","HERON ISLAND RES STN",-23.45,151.917,"Heron Island, Gladstone Regional, Queensland, Australia","Heron Island","Queensland"
"943870-99999","BUNDABERG AERO",-24.9,152.317,"Bundaberg Airport, Commercial Street, Kensington, Bundaberg, Bundaberg Region, Queensland, Australia","Bundaberg Airport","Queensland"
"943880-99999","LADY ELLIOT ISLAND",-24.117,152.717,"Lady Elliot Island Resort, Noddy Lane, Lady Elliot Island, Coral Sea, Gladstone Regional, Queensland, Australia","Lady Elliot Island Resort","Queensland"
"943900-99999","SANDY CAPE LIGHTHOUSE",-24.717,153.2,"Coral Sea, Mackay Regional, Queensland, 4800, Australia","Coral Sea","Queensland"
"943930-99999","FREDERICK REEF",-20.933,154.4,"Frederick Reefs Lighthouse, Coral Sea Islands, Australia","Frederick Reefs Lighthouse","Coral Sea Islands"
"943940-99999","CATO ISLAND",-23.25,155.533,"Coral Sea Islands, Australia","Coral Sea Islands","Coral Sea Islands"
"943950-99999","CLERMONT AIRPORT",-22.783,147.617,"Blair Athol Mine Road, Clermont, Isaac Regional, Queensland, Australia","Blair Athol Mine Road","Queensland"
"943960-99999","ROLLESTON AIRPORT",-24.467,148.633,"Dawson Highway, Rolleston, Central Highlands Regional, Queensland, Australia","Dawson Highway","Queensland"
"943970-99999","MORANBAH",-22.058,148.078,"Moranbah Airport, Moranbah Access Road, Kurrali Park Homestead, Moranbah, Isaac Regional, Queensland, 4744, Australia","Moranbah Airport","Queensland"
"943980-99999","BLACKWATER",-23.603,148.807,"Blackwater Airport, Capricorn Highway, Blackwater, Central Highlands Regional, Queensland, Australia","Blackwater Airport","Queensland"
"943990-99999","LOCHINGTON",-23.933,147.517,"Bogantungan-Lockington Road, Lochington, Central Highlands Regional, Queensland, Australia","Bogantungan-Lockington Road","Queensland"
"944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
"944020-99999","DENHAM",-25.917,113.517,"Stella Rowley Drive, Denham, Shire Of Shark Bay, Western Australia, 6537, Australia","Stella Rowley Drive","Western Australia"
"944030-99999","GERALDTON",-28.796,114.708,"Geraldton Airport, Geraldton-Mount Magnet Road, Moonyoonooka, Mullewa, City Of Greater Geraldton, Western Australia, Australia","Geraldton Airport","Western Australia"
"944040-99999","PAYNES FIND",-29.267,117.683,"Paynes Find, Shire Of Yalgoo, Western Australia, Australia","Paynes Find","Western Australia"
"944050-99999","NORTH ISLAND",-28.3,113.6,"Abrolhos North Island, Houtman Abrolhos, City Of Greater Geraldton, Western Australia, Australia","Abrolhos North Island","Western Australia"
"944060-99999","BILLABONG ASA",-26.817,114.617,"North West Coastal Highway, Meadow, Shire Of Shark Bay, Western Australia, Australia","North West Coastal Highway","Western Australia"
"944100-99999","GASCOYNE JUNCTION",-25.05,115.217,"Carnarvon Mullewa Road, Gascoyne River, Gascoyne Junction, Shire Of Upper Gascoyne, Western Australia, Australia","Carnarvon Mullewa Road","Western Australia"
"944110-99999","MULLEWA",-28.533,115.517,"Carnarvon Mullewa Road, Mullewa, City Of Greater Geraldton, Western Australia, 6630, Australia","Carnarvon Mullewa Road","Western Australia"
"944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
"944170-99999","MORAWA AIRPORT",-29.2,116.017,"Morawa Golf and Bowling Club, Club Road, Morawa, Shire of Morawa, Western Australia, 6623, Australia","Morawa Golf and Bowling Club","Western Australia"
"944220-99999","MURCHISON",-26.883,115.95,"Errabiddy Bluff Road, Murchison, Shire Of Murchison, Western Australia, Australia","Errabiddy Bluff Road","Western Australia"
"944290-99999","MOUNT MAGNET AERO",-28.117,117.833,"Mount Magnet, Shire Of Mount Magnet, Western Australia, 6638, Australia","Mount Magnet","Western Australia"
"944300-99999","MEEKATHARRA AIRPORT",-26.614,118.537,"Murchison Downs Road, Meekatharra, Shire of Meekatharra, Western Australia, Australia","Murchison Downs Road","Western Australia"
"944440-99999","BULGA DOWNS",-28.5,119.75,"Sandstone, Shire Of Sandstone, Western Australia, Australia","Sandstone","Western Australia"
"944490-99999","LAVERTON AERO",-28.617,122.417,"Great Central Road, Laverton, Shire Of Laverton, Western Australia, 6440, Australia","Great Central Road","Western Australia"
"944500-99999","LEONORA AERO",-28.883,121.317,"Leonora - Mount Ida Road, Ularring, Leonora, Shire Of Leonora, Western Australia, Australia","Leonora - Mount Ida Road","Western Australia"
"944510-99999","CARNEGIE (CARNEGIE)",-25.783,122.967,"Carnegie Station, Lake Carnegie, Shire Of Wiluna, Western Australia, Australia","Carnegie Station","Western Australia"
"944570-99999","WARBURTON AIRFIELD",-26.133,126.583,"Twentieth Street, Warburton, Shire Of Ngaanyatjarraku, Western Australia, Australia","Twentieth Street","Western Australia"
"944610-99999","GILES METEOROLOGICAL OFFICE",-25.033,128.3,"First Street, Warakurna Roadhouse, Warakurna, Shire Of Ngaanyatjarraku, Western Australia, Australia","First Street","Western Australia"
"944620-99999","YULARA AERO",-25.2,130.983,"Yulara, Northern Territory, 0872, Australia","Yulara","Northern Territory"
"944630-99999","CURTIN SPRINGS",-25.317,131.75,"Lasseter Highway, Curtin Springs, Petermann, Macdonnell Region, Northern Territory, Australia","Lasseter Highway","Northern Territory"
"944660-99999","KULGERA",-25.85,133.3,"Stuart Highway, Ghan, Kulgera, Macdonnell Region, Northern Territory, Australia","Stuart Highway","Northern Territory"
"944740-99999","PUKATJA",-26.267,132.183,"Pukatja, Anangu Pitjantjatjara Yankunytjatjara, South Australia, 0872, Australia","Pukatja","South Australia"
